特征,系数,绝对系数,绝对贡献度,贡献率
平和质,0.28283033505844263,0.28283033505844263,0.28283033505844263,0.2613758789684757
气虚质,0.21299983814199552,0.21299983814199552,0.21299983814199552,0.19684246353207885
血瘀质,-0.1793902108785663,0.1793902108785663,0.1793902108785663,0.16578233744635884
痰湿质,0.14692455966764684,0.14692455966764684,0.14692455966764684,0.13577940964943572
气郁质,0.11884252365874456,0.11884252365874456,0.11884252365874456,0.10982757232783256
湿热质,-0.08879268472923733,0.08879268472923733,0.08879268472923733,0.08205720228800605
阳虚质,-0.029246857423842,0.029246857423842,0.029246857423842,0.02702829972125439
特禀质,-0.01745652835974128,0.01745652835974128,0.01745652835974128,0.016132341118298657
阴虚质,-0.005599231825637906,0.005599231825637906,0.005599231825637906,0.005174494948259207
